TABLE NO.  2
 ID             ,SID            ,CID            ,CL             ,V              ,ETA1           ,ETA2           ,ETA3           ,ETA4           ,ETA5           ,ETA6
  1.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.81792077E+00, 1.23596784E+01, 1.06057644E-03,-8.60050439E-02,-2.86736041E-01,-4.12709746E-01, 2.03124352E-01,-6.17516870E-01
  2.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.38808001E+00, 1.13091706E+01,-6.40602199E-02,-1.74830524E-01,-2.86736041E-01,-4.12709746E-01, 2.03124352E-01,-6.17516870E-01
  3.00000000E+00, 1.00000000E+00, 1.00000000E+00, 5.36686186E+00, 1.29970634E+01,-2.38250622E-01,-3.57210405E-02,-2.86736041E-01,-4.12709746E-01, 2.03124352E-01,-6.17516870E-01
  4.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.58586867E+00, 1.33782308E+01,-3.35677334E-02,-6.81566015E-03,-2.86736041E-01,-4.12709746E-01, 2.03124352E-01,-6.17516870E-01
  5.00000000E+00, 1.00000000E+00, 1.00000000E+00, 7.51738562E+00, 1.41780735E+01, 9.87244452E-02, 5.12521740E-02,-2.86736041E-01,-4.12709746E-01, 2.03124352E-01,-6.17516870E-01
  6.00000000E+00, 1.00000000E+00, 1.00000000E+00, 7.65124422E+00, 1.44441652E+01, 1.16374302E-01, 6.98460613E-02,-2.86736041E-01,-4.12709746E-01, 2.03124352E-01,-6.17516870E-01
  7.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.57014070E+00, 1.33838571E+01,-3.59587288E-02,-6.39519161E-03,-2.86736041E-01,-4.12709746E-01, 2.03124352E-01,-6.17516870E-01
  8.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.76187491E+00, 1.28056860E+01,-7.19377088E-03,-5.05551875E-02,-2.86736041E-01,-4.12709746E-01, 2.03124352E-01,-6.17516870E-01
  9.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.76358353E+00, 1.18904624E+01,-6.94111830E-03,-1.24707878E-01,-2.86736041E-01,-4.12709746E-01, 2.03124352E-01,-6.17516870E-01
  1.00000000E+01, 1.00000000E+00, 1.00000000E+00, 7.03987188E+00, 1.58345030E+01, 3.30959946E-02, 1.61746814E-01,-2.86736041E-01,-4.12709746E-01, 2.03124352E-01,-6.17516870E-01
